check,Name,test_code,source,Section,module_type,Domain,Sub-Domain,Tags,Status,Duplicates,Marked,Sort-Util
No,CBDL-1.1.01,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD1.02L.03 (https://www.notion.so/CBD1-02L-03-3ecf308ae17f417aa60b190a7c08166e?pvs=21),,A
No,CBDL-1.1.02,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,,,A
No,CBDL-1.1.03,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD1.02L.04 (https://www.notion.so/CBD1-02L-04-a3836ff3b0ad4d54912604ecaa5e712f?pvs=21),,B
No,CBDL-1.1.04,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD1.02L.06 (https://www.notion.so/CBD1-02L-06-5c21416eb9da4a17bdd3c8f5bd9d7790?pvs=21),,A
No,CBDL-1.1.05,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD1.02L.02 (https://www.notion.so/CBD1-02L-02-6efc608ee2e44a4998392255a82bfd97?pvs=21),,B
No,CBDL-1.1.06,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,,,A
No,CBDL-1.1.07,CBDL1,digital-linear,RW,standard,craft-and-structure,structure-and-purpose,main-purpose,,CBD3.02L.08 (https://www.notion.so/CBD3-02L-08-5ff3fb7992384069b41dce1427f90213?pvs=21),,A
No,CBDL-1.1.08,CBDL1,digital-linear,RW,standard,craft-and-structure,structure-and-purpose,function-of-underlined,,CBD3.02U.08 (https://www.notion.so/CBD3-02U-08-da0706d7efaa4d5da14ec36f25982099?pvs=21),,C
No,CBDL-1.1.09,CBDL1,digital-linear,RW,standard,craft-and-structure,structure-and-purpose,function-of-underlined,,CBD4.02U.08 (https://www.notion.so/CBD4-02U-08-9b849130fdda4af982adeb2423f2ef98?pvs=21),,C
No,CBDL-1.1.10,CBDL1,digital-linear,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,CBDL-1.1.11,CBDL1,digital-linear,RW,standard,craft-and-structure,structure-and-purpose,main-purpose,,CBD2.01.10 (https://www.notion.so/CBD2-01-10-43a3927e18bb46de9a8928b09bf22db5?pvs=21),,A
No,CBDL-1.1.12,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,CBDL-1.1.13,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,CBDL-1.1.14,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,CBDL-1.1.15,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,CBDL-1.1.16,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,CBDL-1.1.17,CBDL1,digital-linear,RW,standard,information-and-ideas,inferences,,,,,
No,CBDL-1.1.18,CBDL1,digital-linear,RW,standard,information-and-ideas,inferences,,,,,
No,CBDL-1.1.19,CBDL1,digital-linear,RW,standard,standard-English-conventions,pronouns-and-nouns,,,,,
No,CBDL-1.1.20,CBDL1,digital-linear,RW,standard,standard-English-conventions,syntax,,,,,
No,CBDL-1.1.21,CBDL1,digital-linear,RW,standard,standard-English-conventions,pronouns-and-nouns,,,,,
No,CBDL-1.1.22,CBDL1,digital-linear,RW,standard,standard-English-conventions,syntax,,,,,
No,CBDL-1.1.23,CBDL1,digital-linear,RW,standard,standard-English-conventions,verbs,,,,,
No,CBDL-1.1.24,CBDL1,digital-linear,RW,standard,standard-English-conventions,syntax,,,,,
No,CBDL-1.1.25,CBDL1,digital-linear,RW,standard,standard-English-conventions,pronouns-and-nouns,,,,,
No,CBDL-1.1.26,CBDL1,digital-linear,RW,standard,standard-English-conventions,verbs,,,,,
No,CBDL-1.1.27,CBDL1,digital-linear,RW,standard,standard-English-conventions,syntax,,,,,
No,CBDL-1.1.28,CBDL1,digital-linear,RW,standard,standard-English-conventions,modifier-placement,,,,,
No,CBDL-1.1.29,CBDL1,digital-linear,RW,standard,expression-of-ideas,transitions,,,,,
No,CBDL-1.1.30,CBDL1,digital-linear,RW,standard,expression-of-ideas,transitions,,,,,
No,CBDL-1.1.31,CBDL1,digital-linear,RW,standard,expression-of-ideas,transitions,,,,,
No,CBDL-1.1.32,CBDL1,digital-linear,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,CBDL-1.1.33,CBDL1,digital-linear,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,CBDL-1.2.01,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,,,A
No,CBDL-1.2.02,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,,,A
No,CBDL-1.2.03,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD1.02L.05 (https://www.notion.so/CBD1-02L-05-4a880259ef584e38984e92c44da38ec2?pvs=21),,A
